Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Yishun Avenue 7 (Blk 172), Singapore",2,02-01-18,"1.4368965, 103.8317924",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",2,02-01-18,"1.4370075, 103.8309346",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",1,02-01-18,"1.4374434, 103.8318144",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",4,02-01-18,"1.4363075, 103.8316116",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Canberra Crescent (Blk 130B), Singapore",1,02-01-18,"1.4443594, 103.8320871",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Canberra Crescent, Singapore",2,02-01-18,"1.4451794, 103.8308611",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Canberra Link, Singapore",3,02-01-18,"1.4469100, 103.8274990",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Canberra View, Singapore",2,02-01-18,"1.4433591, 103.8324787",Yishun ,9.6,7,8.6,8.8,—,—,—,—,—
"Redhill Close (Blk 15), Singapore",2,02-01-18,"1.2859160, 103.8170120",Queenstown ,29.6,14.8,24.8,29.6,—,—,—,—,—
"Redhill Close (Blk 90), Singapore",1,02-01-18,"1.2849700, 103.8187016",Queenstown ,29.6,14.8,24.8,29.6,—,—,—,—,—
"Dunman Lane (D- Mansions), Singapore",1,02-01-18,"1.3088754, 103.8953676",Marine Parade ,1,0.8,1,1,—,—,—,—,—
"Swanage Road, Singapore",2,02-01-18,"1.3084206, 103.8939996",Marine Parade ,1,0.8,1,1,—,—,—,—,—
"Tanjong Katong Road, Singapore",1,02-01-18,"1.3078724, 103.8952083",Marine Parade ,1,0.8,1,1,—,—,—,—,—
"Jelapang Road (Blk 507), Singapore",3,02-01-18,"1.3865940, 103.7679075",Bukit Panjang ,0.6,0.4,0.4,0.4,—,—,—,—,—
"Jelapang Road (Blk 520), Singapore",1,02-01-18,"1.3865844, 103.7664364",Bukit Panjang ,0.6,0.4,0.4,0.4,—,—,—,—,—
"Kampong Eunos (Eunos Park), Singapore",3,02-01-18,"1.3185340, 103.9064638",Tanjong Katong ,1.4,0.8,1.2,1.4,—,—,—,—,—
"Woodlands Drive 52 (Blk 623), Singapore",1,02-01-18,"1.4348177, 103.7986944",Admiralty ,—,—,—,—,—,—,—,—,—
"Woodlands Ring Road (Blk 656), Singapore",1,02-01-18,"1.4370026, 103.7992125",Admiralty ,—,—,—,—,—,—,—,—,—
"Woodlands Ring Road (Blk 664), Singapore",1,02-01-18,"1.4363504, 103.7978542",Admiralty ,—,—,—,—,—,—,—,—,—
"Lorong H Telok Kurau, Singapore",2,02-01-18,"1.3162713, 103.9107491",Tanjong Katong ,1.4,0.8,1.2,1.4,—,—,—,—,—
"Lorong K Telok Kurau, Singapore",1,02-01-18,"1.3130423, 103.9116196",Tanjong Katong ,1.4,0.8,1.2,1.4,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",1,02-01-18,"1.4336298, 103.7986691",Admiralty ,—,—,—,—,—,—,—,—,—
"Woodlands Ring Road (Blk 628B), Singapore",1,02-01-18,"1.4341688, 103.8005255",Admiralty ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",2,05-01-18,"1.4368965, 103.8317924",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",2,05-01-18,"1.4370075, 103.8309346",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,05-01-18,"1.4374434, 103.8318144",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",4,05-01-18,"1.4363075, 103.8316116",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Canberra Crescent (Blk 130B), Singapore",1,05-01-18,"1.4443594, 103.8320871",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Canberra Crescent, Singapore",2,05-01-18,"1.4451794, 103.8308611",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Canberra Link, Singapore",4,05-01-18,"1.4469100, 103.8274990",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Canberra View, Singapore",2,05-01-18,"1.4433591, 103.8324787",Yishun ,1.8,1,1.6,1.8,—,—,—,—,—
"Redhill Close (Blk 15), Singapore",2,05-01-18,"1.2859160, 103.8170120",Queenstown ,25.8,17.4,24.8,25.6,—,—,—,—,—
"Redhill Close (Blk 90), Singapore",1,05-01-18,"1.2849700, 103.8187016",Queenstown ,25.8,17.4,24.8,25.6,—,—,—,—,—
"Dunman Lane (D- Mansions), Singapore",1,05-01-18,"1.3088754, 103.8953676",Marine Parade ,2,1.2,1.8,2,—,—,—,—,—
"Swanage Road, Singapore",2,05-01-18,"1.3084206, 103.8939996",Marine Parade ,2,1.2,1.8,2,—,—,—,—,—
"Tanjong Katong Road, Singapore",1,05-01-18,"1.3078724, 103.8952083",Marine Parade ,2,1.2,1.8,2,—,—,—,—,—
"Jelapang Road (Blk 507), Singapore",3,05-01-18,"1.3865940, 103.7679075",Bukit Panjang ,20,13.2,15.8,19.8,—,—,—,—,—
"Jelapang Road (Blk 520), Singapore",1,05-01-18,"1.3865844, 103.7664364",Bukit Panjang ,20,13.2,15.8,19.8,—,—,—,—,—
"Kampong Eunos (Eunos Park), Singapore",3,05-01-18,"1.3185340, 103.9064638",Tanjong Katong ,4.6,3.4,4.4,4.4,—,—,—,—,—
"Woodlands Drive 52 (Blk 623), Singapore",1,05-01-18,"1.4348177, 103.7986944",Admiralty ,5,2,3.6,5,25.9,28.2,24.8,5.8,18
"Woodlands Ring Road (Blk 656), Singapore",1,05-01-18,"1.4370026, 103.7992125",Admiralty ,5,2,3.6,5,25.9,28.2,24.8,5.8,18
"Woodlands Ring Road (Blk 664), Singapore",1,05-01-18,"1.4363504, 103.7978542",Admiralty ,5,2,3.6,5,25.9,28.2,24.8,5.8,18
"Lorong H Telok Kurau, Singapore",2,05-01-18,"1.3162713, 103.9107491",Tanjong Katong ,4.6,3.4,4.4,4.4,—,—,—,—,—
"Lorong K Telok Kurau, Singapore",1,05-01-18,"1.3130423, 103.9116196",Tanjong Katong ,4.6,3.4,4.4,4.4,—,—,—,—,—
"Toh Guan Road (Blk 286C), Singapore",2,05-01-18,"1.3390811, 103.7445298",Jurong (North) ,—,—,—,—,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",1,05-01-18,"1.4336298, 103.7986691",Admiralty ,5,2,3.6,5,25.9,28.2,24.8,5.8,18
"Woodlands Ring Road (Blk 628B), Singapore",1,05-01-18,"1.4341688, 103.8005255",Admiralty ,5,2,3.6,5,25.9,28.2,24.8,5.8,18
"Yishun Avenue 7 (Blk 172), Singapore",2,11-01-18,"1.4368965, 103.8317924",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",4,11-01-18,"1.4370075, 103.8309346",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,11-01-18,"1.4374434, 103.8318144",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",7,11-01-18,"1.4363075, 103.8316116",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Crescent (Blk 130B), Singapore",1,11-01-18,"1.4443594, 103.8320871",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Crescent, Singapore",2,11-01-18,"1.4451794, 103.8308611",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Link, Singapore",4,11-01-18,"1.4469100, 103.8274990",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra View, Singapore",2,11-01-18,"1.4433591, 103.8324787",Yishun ,—,—,—,—,—,—,—,—,—
"Joo Chiat Avenue, Singapore",1,11-01-18,"1.3159035, 103.9116366",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Lorong G Telok Kurau, Singapore",1,11-01-18,"1.3171163, 103.9101586",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Lorong H Telok Kurau, Singapore",3,11-01-18,"1.3162713, 103.9107491",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",6,11-01-18,"1.4339140, 103.8311350",Yishun ,—,—,—,—,—,—,—,—,—
"Ah Hood Road (The Belleforte), Singapore",1,11-01-18,"1.3272753, 103.8452119",Whampoa ,11,1,1.4,2.4,—,—,—,—,—
"Jalan Dusun (Blk 104), Singapore",1,11-01-18,"1.3285514, 103.8446805",Whampoa ,11,1,1.4,2.4,—,—,—,—,—
"Jalan Dusun (Blk 106), Singapore",1,11-01-18,"1.3285517, 103.8446775",Whampoa ,11,1,1.4,2.4,—,—,—,—,—
"Kampong Eunos (Eunos Park), Singapore",3,11-01-18,"1.3185340, 103.9064638",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",2,11-01-18,"1.4336298, 103.7986691",Admiralty ,14.4,1,1.6,2.8,23.4,25.4,21.7,10.8,40
"Woodlands Ring Road (Blk 628B), Singapore",1,11-01-18,"1.4341688, 103.8005255",Admiralty ,14.4,1,1.6,2.8,23.4,25.4,21.7,10.8,40
"Tampines Street 44 (Blk 468), Singapore",1,11-01-18,"1.3604550, 103.9550780",Pasir Ris (Central) ,10.8,0.8,1.4,2.4,—,—,—,—,—
"Tampines Street 44 (Blk 469), Singapore",1,11-01-18,"1.3603414, 103.9546897",Pasir Ris (Central) ,10.8,0.8,1.4,2.4,—,—,—,—,—
"Tampines Street 82 (Blk 842H), Singapore",1,11-01-18,"1.3509299, 103.9367410",Simei ,11.5,1,1.5,2.5,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",2,12-01-18,"1.4368965, 103.8317924",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",4,12-01-18,"1.4370075, 103.8309346",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,12-01-18,"1.4374434, 103.8318144",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",9,12-01-18,"1.4363075, 103.8316116",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Crescent (Blk 130B), Singapore",1,12-01-18,"1.4443594, 103.8320871",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Crescent, Singapore",2,12-01-18,"1.4451794, 103.8308611",Yishun ,—,—,—,—,—,—,—,—,—
