Cantonment Close (Blk 18),"1.2738709, 103.8394238"
Jalan Lakum,"1.3852981, 103.8722146"
Kee Choe Avenue,"1.3314649, 103.8731039"
Lorong 30 Geylang,"1.3127090, 103.8863383"
Lorong 5 Toa Payoh (Blk 57),"1.3370817, 103.8512847"
Miltonia Close (The Miltonia Residences),"1.4169702, 103.8481540"
ds Avenue 6 lk 792),"1.4387944, 103.8030299"
Eastwood Road (Eastwood Centre),"1.3215890, 103.9554603"
ide Drive Lakefront idences),The address probably not exists
Jervois Lane (Clydesview),"1.2942469, 103.8184550"
Pasir Ris Drive 4 (Blk 481),"1.3741016, 103.9587919"
Geylang East Avenue 1 (Blk 125),"1.3178464, 103.8864491"
Bukit Batok West Avenue 5 (Blk 385),"1.3634691, 103.7521786"
Mei Ling Street (Blk 150),"1.2949568, 103.8035354"
g Street 91 lk 913),"1.3483550, 103.9391248"
Teck Whye Lane (Blk 17),"1.3792536, 103.7539437"
Happy Avenue East,"1.3302147, 103.8814575"
Choa Chu Kang Avenue 4 (Blk 431),"1.3839461, 103.7414522"
Woodlands Rise (Blk 783B),"1.4468831, 103.8039213"
Woodlands Street 81 (Blk 873),"1.4431941, 103.7891162"
Rivervale Walk (Blk 110),"1.3838059, 103.8999572"
Jalan Lapang,"1.3228533, 103.9165664"
Chai Chee Road (Blk 21),"1.3258220, 103.9222289"
Woodlands Avenue 6 (Blk 720),"1.4423311, 103.8009329"
Choa Chu Kang Avenue 4 (Blk 415),"1.3827671, 103.7424479"
Ang Mo Kio Avenue 10 (Blk 447),"1.3675144, 103.8559103"
Kio Avenue 1 k 310C),"1.3803415, 103.8348276"
Tampines Street 33 (Blk 321),"1.3507250, 103.9573970"
Lorong 7 Realty Park,"1.3690915, 103.8883836"
10 Geylang,"1.3119747, 103.8775633"
Jalan Kathi,"1.3233653, 103.9522998"
Bedok Reservoir Road (Blk 139),"1.3345066, 103.9137344"
Bedok North Street 3 (Blk 501),"1.3312025, 103.9311212"
Jelapang Road (Blk 529),"1.3859920, 103.7645185"
Bedok eservoir View (The Clearwater),"1.3372518, 103.9345989"
oodman Road,"1.3044379, 103.8907701"
Lorong Ong Lye,"1.3479061, 103.8790427"
Ang Mo Kio Avenue 5 (Blk 179),"1.3768610, 103.8364347"
Clementi West Street 2 (Blk 710),"1.3061881, 103.7615478"
Gangsa Road (Blk 155),"1.3753213, 103.7651011"
Jalan Tenaga (Blk 651),"1.3322173, 103.9073754"
Yishun Avenue 11 (Blk 350),"1.4259403, 103.8440435"
Ubi Avenue 1 (Blk 315),"1.3291695, 103.9029349"
Woodlands Crescent (Blk 780F),"1.4483150, 103.8009103"
20 Geylang,"1.3113580, 103.8813418"
Yishun Street 11 (Blk 150),"1.4308674, 103.8337198"
Chai Chee Road (Blk 807A),"1.3272024, 103.9232433"
Rivervale Drive (Blk 117C),"1.3833780, 103.9032150"
Hougang Avenue 8 (Blk 614),"1.3690284, 103.8849024"
Margoliouth Road,"1.3187205, 103.8242366"
oh Guan Road East (nearer to PIE),"1.3403540, 103.7498050"
Lor 20 Geylang (Treasures@G20),"1.3114027, 103.8815883"
Bishan Street 22 (Blk 232),"1.3582718, 103.8456739"
ampines Street 43 (Blk 496B),"1.3615524, 103.9510862"
Woodlands Drive 60 (Blk 773),"1.4474178, 103.7976052"
Chai Chee Road (Blk 61),"1.3251171, 103.9206073"
Choa Chu Kang Avenue 2 (Blk 297A),"1.3771787, 103.7425430"
Woodlands Drive 14 (Blk 514),"1.4346749, 103.7898406"
Teck Whye Lane (Blk 141),"1.3803795, 103.7526085"
orong Melayu,"1.3221730, 103.9101531"
Jurong East Street 24 (Blk 252),"1.3430725, 103.7381938"
Hougang Avenue 1 (Blk 111),"1.3548724, 103.8885268"
Bishan Street 23 (Blk 223),"1.3586232, 103.8482103"
Geylang Bahru (Blk 59A),"1.3225134, 103.8681221"
Pasir Ris Drive 4 (Blk 460),"1.3711950, 103.9591132"
Bedok Reservoir Road (Blk 613A),"1.3328525, 103.9174042"
Lorong L Telok Kurau (Le Conney Park),"1.3121296, 103.9118641"
Jurong West Street 65 (Blk 670A),"1.3440873, 103.7029009"
ommonwealth Avenue ommonwealth Towers),"1.2957220, 103.8059102"
Eastwood Way,"1.3229592, 103.9573462"
Bedok Reservoir View (Blk 769),"1.3358468, 103.9378287"
Telok Kurau Road,"1.3122916, 103.9108615"
Woodlands Drive 40 (Blk 703),"1.4409939, 103.7964137"
erah Kechil venue a Merah),"1.3295629, 103.9461517"
Woodlands Drive 14 (Blk 505),"1.4321347, 103.7911535"
Pasir Ris Drive 1 (Blk 638),"1.3761131, 103.9407974"
Ang Mo Kio Avenue 10 (Blk 432),"1.3683341, 103.8535550"
Saint Nicholas View,"1.3735416, 103.8328308"
Yishun Ring Road (Blk 402),"1.4265806, 103.8473045"
Teban Gardens Road (Blk 65),"1.3219768, 103.7391894"
g Street 22 lk 239),"1.3490889, 103.9510797"
Choa Chu ang Avenue 4 (Blk 435),"1.3851398, 103.7410676"
Pine Close (Blk 11),"1.3082125, 103.8826354"
Chai Chee Road (Blk 27),"1.3242967, 103.9234118"
Tampines Street 41 (Blk 408),"1.3587863, 103.9452618"
hoa Chu Kang Avenue 4 (Blk 415),"1.3827671, 103.7424479"
ngi Road,"1.3071058, 103.8337398"
Choa Chu ang Avenue 3 (Blk 401),"1.3796490, 103.7397099"
Kaki Bukit Industrial Terrace,"1.3357532, 103.9021851"
Hougang Avenue 5 (Blk 302),"1.3686049, 103.8945980"
Woodlands Crescent (Blk 782E),"1.4475061, 103.8024682"
orth Street 3 lk 503),"1.3314692, 103.9324581"
Bedok North Avenue 2 (Blk 516),"1.3311356, 103.9300335"
Aljunied Road (Blk 125),"1.3233639, 103.8817311"
Bedok eservoir Road (Blk 642),"1.3314407, 103.9056309"
Bedok Reservoir Road (Blk 104),"1.3292763, 103.9098223"
Choa Chu ang Avenue 7 (Blk 813A),"1.3740466, 103.7450050"
Rowell Road,"1.3084832, 103.8550364"
Lengkong Tiga (Blk 109),"1.3246615, 103.9107286"
Lengkok Tiga (Blk 109),"1.3246615, 103.9107286"
itchener Road (Blk 2),"1.3079089, 103.8591716"
ands Circle lk 732),The address probably not exists
Woodlands Crescent (Blk 787C),"1.4448456, 103.8010235"
Hougang Avenue 1 (Blk 174A),"1.3493578, 103.8888296"
hee Road lk 803),The address probably not exists
Choa Chu Kang Avenue 4 (Blk 426),"1.3805868, 103.7391894"
Travistock Avenue,"1.3689461, 103.8627407"
Woodlands Crescent (Blk 776),"1.4477849, 103.8000766"
Veerasamy Road (Blk 637),"1.3069042, 103.8557291"
g Avenue 8 lk 501),"1.3521553, 103.7395428"
Hougang Street 21 (Blk 233),"1.3579500, 103.8881644"
Boon Lay Place (Blk 212),"1.3491579, 103.7129467"
Telok Blangah Rise (Blk 42),"1.2709676, 103.8227058"
Bedok Reservoir View (Blk 762),"1.3364516, 103.9344749"
Guillemard Crescent,"1.3093205, 103.8808856"
Bedok eservoir View (Blk 773),"1.3362884, 103.9373755"
Lorong 17 Geylang,"1.3140200, 103.8786145"
Bishan Street 12 (Blk 134),"1.3454191, 103.8521055"
Bishan Street 24 (Blk 291),"1.3560973, 103.8451583"
lands Rise k 785D),"1.4467286, 103.8043788"
Yishun Ring Road (Blk 117),"1.4355099, 103.8276388"
Ang Mo Kio Avenue 10 (Blk 412),"1.3639288, 103.8552762"
Bedok Reservoir Road (Blk 124),"1.3327139, 103.9100942"
Avenue 2,"1.3515536, 103.7116125"
Yishun Ring Road (Blk 311),"1.4314061, 103.8410769"
Jalan Chulek,"1.3663575, 103.8678792"
Gloucester Road (Blk 9),"1.3136024, 103.8516753"
Punggol Drive (Blk 679A),"1.4059780, 103.9083018"
Bishan Street 22 (Blk 262),"1.3592891, 103.8424712"
Lorong 1 Toa Payoh (Blk 109),"1.3412056, 103.8463986"
ssvale Walk k 226C),"-23.2172028, -45.8881327"
g N Telok urau,"1.2810087, 103.8477785"
Serangoon Avenue 1,"1.3475282, 103.8751300"
20 Geylang ures@G20),"1.3114027, 103.8815883"
Reservoir Road lk 112),"1.3297122, 103.9103661"
Teck Whye Lane (Blk 115),"1.3789764, 103.7512281"
ivervale Link The Rivervale),"1.3807836, 103.8995612"
Circuit Road (Blk 18C),"1.3295765, 103.8885992"
Gangsa Road (Blk 111),"1.3781971, 103.7684054"
Lakeside Drive (Caspian),"1.3428614, 103.7179725"
Tai Hwan Crescent,"1.3554663, 103.8606959"
Kampung Eunos (Eunos Park),"1.3185340, 103.9064638"
Jalan Molek,"1.3115211, 103.8833665"
