Location,No. of Cases,Date
Yishun Avenue 7 (Blk 172),2,02-01-18
Yishun Avenue 7 (Blk 173),2,02-01-18
Yishun Avenue 7 (Blk 174),1,02-01-18
Yishun Ring Road (Blk 166),4,02-01-18
Canberra Crescent (Blk 130B),1,02-01-18
Canberra Crescent,2,02-01-18
Canberra Link,3,02-01-18
Canberra View,2,02-01-18
Redhill Close (Blk 15),2,02-01-18
Redhill Close (Blk 90),1,02-01-18
Dunman Lane (D- Mansions),1,02-01-18
Swanage Road,2,02-01-18
Tanjong Katong Road,1,02-01-18
Jelapang Road (Blk 507),3,02-01-18
Jelapang Road (Blk 520),1,02-01-18
Kampong Eunos (Eunos Park),3,02-01-18
Woodlands Drive 52 (Blk 623),1,02-01-18
Woodlands Ring Road (Blk 656),1,02-01-18
Woodlands Ring Road (Blk 664),1,02-01-18
Lorong H Telok Kurau,2,02-01-18
Lorong K Telok Kurau,1,02-01-18
Woodlands Drive 52 (Blk 620),1,02-01-18
Woodlands Ring Road (Blk 628B),1,02-01-18
Yishun Avenue 7 (Blk 172),2,05-01-18
Yishun Avenue 7 (Blk 173),2,05-01-18
Yishun Avenue 7 (Blk 174),2,05-01-18
Yishun Ring Road (Blk 166),4,05-01-18
Canberra Crescent (Blk 130B),1,05-01-18
Canberra Crescent,2,05-01-18
Canberra Link,4,05-01-18
Canberra View,2,05-01-18
Redhill Close (Blk 15),2,05-01-18
Redhill Close (Blk 90),1,05-01-18
Dunman Lane (D- Mansions),1,05-01-18
Swanage Road,2,05-01-18
Tanjong Katong Road,1,05-01-18
Jelapang Road (Blk 507),3,05-01-18
Jelapang Road (Blk 520),1,05-01-18
Kampong Eunos (Eunos Park),3,05-01-18
Woodlands Drive 52 (Blk 623),1,05-01-18
Woodlands Ring Road (Blk 656),1,05-01-18
Woodlands Ring Road (Blk 664),1,05-01-18
Lorong H Telok Kurau,2,05-01-18
Lorong K Telok Kurau,1,05-01-18
Toh Guan Road (Blk 286C),2,05-01-18
Woodlands Drive 52 (Blk 620),1,05-01-18
Woodlands Ring Road (Blk 628B),1,05-01-18
Yishun Avenue 7 (Blk 172),2,11-01-18
Yishun Avenue 7 (Blk 173),4,11-01-18
Yishun Avenue 7 (Blk 174),2,11-01-18
Yishun Ring Road (Blk 166),7,11-01-18
Canberra Crescent (Blk 130B),1,11-01-18
Canberra Crescent,2,11-01-18
Canberra Link,4,11-01-18
Canberra View,2,11-01-18
Joo Chiat Avenue,1,11-01-18
Lorong G Telok Kurau,1,11-01-18
Lorong H Telok Kurau,3,11-01-18
Yishun Street 11 (Blk 128),6,11-01-18
Ah Hood Road (The Belleforte),1,11-01-18
Jalan Dusun (Blk 104),1,11-01-18
Jalan Dusun (Blk 106),1,11-01-18
Kampong Eunos (Eunos Park),3,11-01-18
Woodlands Drive 52 (Blk 620),2,11-01-18
Woodlands Ring Road (Blk 628B),1,11-01-18
Tampines Street 44 (Blk 468),1,11-01-18
Tampines Street 44 (Blk 469),1,11-01-18
Tampines Street 82 (Blk 842H),1,11-01-18
Yishun Avenue 7 (Blk 172),2,12-01-18
Yishun Avenue 7 (Blk 173),4,12-01-18
Yishun Avenue 7 (Blk 174),2,12-01-18
Yishun Ring Road (Blk 166),9,12-01-18
Canberra Crescent (Blk 130B),1,12-01-18
Canberra Crescent,2,12-01-18
Canberra Link,4,12-01-18
Canberra View,2,12-01-18
Joo Chiat Avenue,1,12-01-18
Lorong G Telok Kurau,1,12-01-18
Lorong H Telok Kurau,4,12-01-18
Yishun Street 11 (Blk 128),6,12-01-18
Yishun Street 11 (Blk 132),1,12-01-18
Ah Hood Road (The Belleforte),1,12-01-18
Balestier Road,1,12-01-18
Jalan Dusun (Blk 104),1,12-01-18
Jalan Dusun (Blk 106),1,12-01-18
Kampong Eunos (Eunos Park),3,12-01-18
Woodlands Drive 52 (Blk 620),2,12-01-18
Woodlands Ring Road (Blk 628B),1,12-01-18
Tampines Street 44 (Blk 469),1,12-01-18
Tampines Street 82 (Blk 842C),1,12-01-18
Tampines Street 82 (Blk 842H),1,12-01-18
Yishun Avenue 7,1,15-01-18
Yishun Avenue 7 (Blk 172),2,15-01-18
Yishun Avenue 7 (Blk 173),5,15-01-18
Yishun Avenue 7 (Blk 174),2,15-01-18
Yishun Ring Road (Blk 165),1,15-01-18
Yishun Ring Road (Blk 166),12,15-01-18
Yishun Street 11 (Blk 122),1,15-01-18
Yishun Street 11 (Blk 124),2,15-01-18
Yishun Street 11 (Blk 132),1,15-01-18
Jalan Gajus,1,15-01-18
Seraya Lane,2,15-01-18
Seraya Road,1,15-01-18
Toh Tuck Road (The Beverly),4,15-01-18
Woodlands Drive 52 (Blk 619),1,15-01-18
Woodlands Drive 52 (Blk 620),2,15-01-18
Woodlands Ring Road (Blk 628B),1,15-01-18
Jalan Leban,3,15-01-18
Tampines Street 44 (Blk 468),1,15-01-18
Tampines Street 44 (Blk 469),1,15-01-18
Tampines Street 44 (Blk 472),1,15-01-18
Yuan Ching Road (Lakeside Apartments),2,15-01-18
Bukit Batok Street 21 (Blk 206),1,15-01-18
Bukit Batok Street 21 (Blk 208),1,15-01-18
Canberra Crescent,1,15-01-18
Canberra Walk (Blk 115C),1,15-01-18
Lorong G Telok Kurau,1,15-01-18
Lorong G Telok Kurau (Palm Vista),1,15-01-18
Tampines Street 82 (Blk 842C),1,15-01-18
Tampines Street 82 (Blk 842H),1,15-01-18
Yishun Avenue 7,1,19-01-18
Yishun Avenue 7 (Blk 172),2,19-01-18
Yishun Avenue 7 (Blk 173),5,19-01-18
Yishun Avenue 7 (Blk 174),2,19-01-18
Yishun Ring Road (Blk 165),1,19-01-18
Yishun Ring Road (Blk 166),12,19-01-18
Yishun Street 11 (Blk 122),1,19-01-18
Yishun Street 11 (Blk 124),3,19-01-18
Yishun Street 11 (Blk 132),1,19-01-18
Jalan Gajus,1,19-01-18
Seraya Lane,2,19-01-18
Seraya Road,1,19-01-18
Toh Tuck Road (The Beverly),4,19-01-18
Jalan Leban,3,19-01-18
Tampines Street 44 (Blk 468),1,19-01-18
Tampines Street 44 (Blk 469),1,19-01-18
Tampines Street 44 (Blk 472),1,19-01-18
Yuan Ching Road (Lakeside Apartments),2,19-01-18
Yuan Ching Road (Park View Mansions),1,19-01-18
Bukit Batok Street 21 (Blk 206),1,19-01-18
Bukit Batok Street 21 (Blk 208),1,19-01-18
Canberra Walk (Blk 115C),1,19-01-18
Lorong G Telok Kurau,1,19-01-18
Lorong G Telok Kurau (Palm Vista),1,19-01-18
Yishun Avenue 7,2,22-01-18
Yishun Avenue 7 (Blk 172),5,22-01-18
Yishun Avenue 7 (Blk 173),9,22-01-18
Yishun Avenue 7 (Blk 174),2,22-01-18
Yishun Ring Road (Blk 120),1,22-01-18
Yishun Ring Road (Blk 165),1,22-01-18
Yishun Ring Road (Blk 166),12,22-01-18
Yishun Street 11 (Blk 122),1,22-01-18
Yishun Street 11 (Blk 128),10,22-01-18
Yishun Street 11 (Blk 131),1,22-01-18
Yishun Street 11 (Blk 132),1,22-01-18
Jalan Gajus,1,22-01-18
Seraya Lane,3,22-01-18
Seraya Road,1,22-01-18
Jalan Leban,4,22-01-18
Jalan Tarum,1,22-01-18
Toh Tuck Road (The Beverly),4,22-01-18
Bishan Street 13 (Blk 171),2,22-01-18
Bishan Street 13 (Blk 172),1,22-01-18
Bloxhome Drive,2,22-01-18
Crowhurst Drive,1,22-01-18
Bukit Batok Street 21 (Blk 208),1,22-01-18
Canberra Crescent,1,22-01-18
Canberra Walk (Blk 115C),1,22-01-18
Woodlands Avenue 6 (Blk 627),1,22-01-18
Woodlands Ring Road (Blk 628B),1,22-01-18
Yishun Avenue 7,2,26-01-18
Yishun Avenue 7 (Blk 172),6,26-01-18
Yishun Avenue 7 (Blk 173),10,26-01-18
Yishun Avenue 7 (Blk 174),3,26-01-18
Yishun Ring Road (Blk 120),1,26-01-18
Yishun Ring Road (Blk 165),1,26-01-18
Yishun Ring Road (Blk 166),12,26-01-18
Yishun Street 11 (Blk 122),1,26-01-18
Yishun Street 11 (Blk 128),10,26-01-18
Yishun Street 11 (Blk 131),1,26-01-18
Yishun Street 11 (Blk 132),1,26-01-18
Jalan Gajus,1,26-01-18
Seraya Lane,3,26-01-18
Seraya Road,1,26-01-18
Jalan Leban,4,26-01-18
Jalan Tarum,1,26-01-18
Bishan Street 13 (Blk 170),1,26-01-18
Bishan Street 13 (Blk 171),2,26-01-18
Bishan Street 13 (Blk 172),1,26-01-18
Toh Tuck Road (The Beverly),4,26-01-18
Bloxhome Drive,2,26-01-18
Crowhurst Drive,1,26-01-18
Bukit Batok Street 21 (Blk 208),2,26-01-18
Vaughan Road,3,26-01-18
Woodlands Avenue 6 (Blk 627),1,26-01-18
Woodlands Ring Road (Blk 628B),1,26-01-18
