"",Feedback FAQS,Contact Us
Newsroom,Resources,Contact
Dengue Cluster Information @ NEA 2013,,
Click here for more NEA information in OneMap,,
ality with active transmission where intervention is targeted.  It i,,
hin 14 days and are located within 150m of each other (based o,,
movement history).  The clusters are categorised according t,,
also accompanies each alert level. There are 3 alert levels:,,
"",Alert Level,
s,Red,
es,Yellow,
t 21 days,Green,
s current vector control intervention.  Please click on the clust,,
"",Breakdown,
Location,No. of cases,
Canberra Drive,,2
Yishun Avenue 7 (Blk 170),,3
Yishun Avenue 7 (Blk 172),,6
Yishun Avenue 7 (Blk 173),,2
Yishun Avenue 7 (Blk 175),,2
Yishun Ring Road (Blk 165),,6
Yishun Ring Road (Blk 166),,2
Yishun Ring Road (Blk 167),,2
Yishun Street 11 (Blk 122),,3
Yishun Street 11 (Blk 125),,1
Yishun Street 11 (Blk 128),,1
Yishun Street 11 (Blk 130),,1
Location,No. of cases,
"",Geylang Road,1
"",Guillemard Road,5
"",Lorong 4 Geylang,3
"",Lorong 6 Geylang,5
"",Lorong 8 Geylang,4
"",Lorong 14 Geylang,4
"",Lorong 16 Geylang,3
"",Lorong 18 Geylang,1
"",Location,No. of cases
"",Jalan Gembira,1
"",Jalan Kemajuan,3
"",Jalan Muhibbah,2
"",Jalan Mulia,8
"",Jalan Setia,5
"",Joo Seng Road (Blk 20),1
"",Joo Seng Road (Blk 21),3
"",Kampong Ampat,1
"",Upper Aljunied Lane (Blk 4),1
"",Location,No. of cases
"",Geylang Road,2
"",Lorong 9 Geylang,4
"",Lorong 11 Geylang,4
"",Lorong 13 Geylang,3
"",Lorong 15 Geylang,6
"",Lorong 21 Geylang,1
"",Sims Avenue,1
"",Location,No. of cases
"",Balestier Road,8
"",Jalan Ampas,2
"",Jalan Kemaman,1
"",Kim Keat Close,1
"",Kim Keat Road,2
"",Lorong Limau (Blk 76),5
"",Minbu Road,1
"",Location,No. of cases
"",Devonshire Road,18
"",Location,No. of cases
"",Lorong 23 Geylang,10
"",Sims Drive (Blk 45),1
"",Sims Drive (Blk 54),2
"",Sims Place (Blk 46),2
"",Sims Lane,1
"",Location,No. of cases
"",Pasir Ris Drive 1,6
"",Pasir Ris Drive 1 (Blk 531),1
"",Pasir Ris Drive 1 (Blk 532),4
"",Pasir Ris Drive 1 (Blk 533),1
"",Pasir Ris Drive 1 (Blk 536),1
"",Location,No. of cases
"",Eden Grove,12
"",Location,No. of cases
"",Guillemard Road,5
"",Lorong 28 Geylang,4
"",Lorong 30 Geylang,1
"",Lorong 32 Geylang,1
"",Location,No. of cases
"",Ang Mo Kio Avenue 3 (Blk 126),6
"",Ang Mo Kio Avenue 3 (Blk 127),1
Ang Mo Kio Avenue 3 (Blk 128),1,
"",Ang Mo Kio Avenue 6 (Blk 125),1
"",Location,No. of cases
"",Woodlands Avenue 6 (Blk 722),1
"",Woodlands Avenue 6 (Blk 724),3
"",Woodlands Avenue 6 (Blk 725),1
"",Woodlands Crescent (Blk 787B),1
"",Location,No. of cases
"",Lorong 17 Geylang,1
"",Sims Avenue,4
"",Location,No. of cases
"",Lorong 3 Geylang,4
"",Upper Boon Keng Rd (Blk 39),1
"",Location,No. of cases
"",Changi Road,3
"",Lorong 110 Changi,1
"",Location,No. of cases
"",Choa Chu Kang Central 1 (Blk 230),1
"",Choa Chu Kang Central 1 (Blk 231),3
"",Location,No. of cases
"",Eng Kong Terrace,1
"",Lorong Kismis,3
"",Location,No. of cases
"",Lorong Lew Lian (Blk 1),1
"",Lorong Lew Lian (Blk 3),2
"",Lorong Lew Lian,1
"",Location,No. of cases
"",Vernon Park,4
"",Location,No. of cases
"",Ang Mo Kio Avenue 4 (Blk 106),3
"",Location,No. of cases
"",Cantonment Road (Blk 1A),1
"",Cantonment Road (Blk 1E),1
"",Cantonment Road (Blk 1F),1
"",Location,No. of cases
"",Choa Chu Kang Avenue 4 (Blk 429),3
"",Location,No. of cases
"",Clarence Lane (Blk 132),2
"",Clarence Lane (Blk 133),1
"",Location,No. of cases
"",Hougang Avenue 2 (Blk 720),1
"",Jalan Tani,2
"",Location,No. of cases
"",Jalan Bahagia (Blk 41),1
"",Jalan Bahagia (Blk 49),1
"",Whampoa Road (Blk 115),1
"",Location,No. of cases
"",Jalan Besar,2
"",Kelantan Lane,1
"",Location,No. of cases
"",Lorong 20 Geylang,1
"",Lorong 22 Geylang,1
"",Westerhout Road,1
"",Location,No. of cases
"",Lorong Selangat,1
"",Sommerville Road,2
"",,
"",Marine Terrace (Blk 7),2
"",Marine Terrace (Blk 53),1
"",Location,No. of cases
"",Serangoon Avenue 2 (Blk 321),1
"",Serangoon Avenue 3 (Blk 324),1
"",Serangoon Avenue 3 (Blk 328),1
"",Location,No. of cases
"",Ubi Avenue 1 (Blk 302),2
"",Ubi Avenue 1,1
"",Location,No. of cases
"",Watten Drive,2
"",Watten Estate Road,1
"",Location,No. of cases
"",Yishun Ring Road (Blk 790),1
"",Yishun Ring Road (Blk 792),1
"",Yishun Ring Road (Blk 794),1
"",,
"",Location,No. of cases
"",Ang Mo Kio Avenue 10 (Blk 576),1
"",Ang Mo Kio Street 52 (Blk 588D),1
"",,
"",Location,No. of cases
"",Ang Mo Kio Avenue 6 (Blk 700A),2
"",Location,No. of cases
"",Balestier Road,1
"",Race Course Road,1
"",Location,No. of cases
"",Bishan Street 24 (Blk 288),1
"",Bishan Street 24 (Blk 289),1
"",Location,No. of cases
"",Choa Chu Kang Street 51 (Blk 503),1
"",Choa Chu Kang Street 51 (Blk 504),1
"",Location,No. of cases
"",Dorset Road (Blk 48),1
"",Gloucester Road (Blk 9),1
"",Location,No. of cases
"",Hougang Avenue 3 (Blk 20),1
"",Hougang Avenue 3 (Blk 23),1
"",Location,No. of cases
"",Hougang Street 51 (Blk 569),1
"",Hougang Street 51 (Blk 572),1
"",Location,No. of cases
"",Jalan Grisek,1
"",Jalan Sentosa,1
"",Location,No. of cases
"",Jurong East Street 21 (Blk 232),1
"",Jurong East Street 21 (Blk 234),1
"",,
"",Location,No. of cases
"",Kinta Road,1
"",Race Course Road,1
"",Location,No. of cases
"",Lakeside Drive,2
"",Location,No. of cases
"",Paya Lebar Way (Blk 121),1
"",Paya Lebar Way (Blk 122),1
"",Location,No. of cases
"",,
"",Location,No. of cases,
"",Tampines Street 23 (Blk 229),1,
"",Tampines Street 42 (Blk 451),1,
"",,,
"",Location,No. of cases,
"",Tampines Street 45 (497B),1,
"",Tampines Street 45 (497J),1,
"",Location,No. of cases,
"",Upper Boon Keng Road (Blk 2B),1,
"",Upper Boon Keng Road (Blk 3C),1,
"",Location,No. of cases,
"",Wellington Circle (Blk 510B),2,
"",Location,No. of cases,
"",Yishun Street 21 (Blk 228),1,
"",Yishun Street 21 (Blk 234),1,
"",Location,No. of cases,
"",Yishun Street 72 (Blk 758),1,
"",Yishun Street 72 (Blk 765),1,
click here.,,,
onnect With Us,"GO TONEA Website",,
"",,,
"",,,
"",Feedback FAQS,Contact Us
Newsroom,Resources,Contact
Dengue Cluster Information @ NEA 2013,,
Click here for more NEA information in OneMap,,
ality with active transmission where intervention is targeted.  It i,,
