Location,No. of Cases,Date
Bedok Reservoir Road (Blk 122),1,04/01/2019
Bedok Reservoir Road (Blk 124),1,04/01/2019
Bedok Reservoir Road (Blk 128),3,04/01/2019
Bedok Reservoir Road (Blk 130),2,04/01/2019
Bedok Reservoir Road (Blk 131),3,04/01/2019
Bedok Reservoir Road (Blk 132),2,04/01/2019
Bedok Reservoir Road (Blk 134),2,04/01/2019
Bedok Reservoir Road (Blk 135),2,04/01/2019
Bedok Reservoir Road (Blk 137),3,04/01/2019
Bedok Reservoir Road (Blk 138),2,04/01/2019
Bedok Reservoir Road (Blk 139),10,04/01/2019
Bedok Reservoir Road (Blk 140),2,04/01/2019
Bedok Reservoir Road (Blk 142),4,04/01/2019
Bedok Reservoir Road (Blk 144),3,04/01/2019
Bedok Reservoir Road (Blk 145),1,04/01/2019
Bedok Reservoir Road (Blk 146),1,04/01/2019
Bedok Reservoir Road (Blk 147),2,04/01/2019
Bedok Reservoir Road (Blk 148),2,04/01/2019
Bedok Reservoir Road (Blk 149),1,04/01/2019
Bedok Reservoir Road (Blk 150),2,04/01/2019
Bedok Reservoir Road (Blk 608),1,04/01/2019
Bedok Reservoir Road (Blk 609),1,04/01/2019
Bedok Reservoir Road (Blk 613),1,04/01/2019
Bedok Reservoir Road (Blk 613A),1,04/01/2019
Bedok Reservoir Road (Blk 613B),1,04/01/2019
Bedok Reservoir Road (Blk 615),1,04/01/2019
Bedok Reservoir Road (Blk 622),1,04/01/2019
Bedok Reservoir Road (Blk 623),1,04/01/2019
Bedok Reservoir Road (Blk 628),1,04/01/2019
Bedok Reservoir Road (Blk 629),1,04/01/2019
Bedok Reservoir Road (Blk 631),1,04/01/2019
Eastwood Drive,22,04/01/2019
Eastwood Green,4,04/01/2019
Eastwood Place,1,04/01/2019
Eastwood Road,1,04/01/2019
Eastwood Terrace,4,04/01/2019
Eastwood Way,6,04/01/2019
Jalan Greja,3,04/01/2019
Pesari Walk,1,04/01/2019
Taman Bedok,1,04/01/2019
Pandan Gardens (Blk 404),2,04/01/2019
Pandan Gardens (Blk 405),1,04/01/2019
Pandan Gardens (Blk 411),6,04/01/2019
Pandan Gardens (Blk 412),3,04/01/2019
Pandan Gardens (Blk 413),1,04/01/2019
Pandan Gardens (Blk 414),19,04/01/2019
Kaki Bukit Industrial Terrace,15,04/01/2019
Kaki Bukit Place,2,04/01/2019
Kaki Bukit Road 3,1,04/01/2019
Hougang Avenue 5 (Blk 310),6,04/01/2019
Hougang Avenue 5 (Blk 319),1,04/01/2019
Hougang Avenue 5 (Blk 320),1,04/01/2019
Hougang Avenue 5 (Blk 324),1,04/01/2019
Cashew Road (Cashew Heights),2,04/01/2019
Gangsa Road (Blk 153),3,04/01/2019
Gangsa Road (Blk 154),2,04/01/2019
Hazel Park Terrace (Hazel Park Condominium),3,04/01/2019
Jalan Damai (Blk 664),1,04/01/2019
Jalan Damai (Blk 665),1,04/01/2019
Jalan Damai (Blk 667),1,04/01/2019
Jalan Tenaga (Blk 651),1,04/01/2019
Jalan Tenaga (Blk 652),1,04/01/2019
Jalan Tenaga (Blk 654),2,04/01/2019
Jalan Tenaga (Blk 655),1,04/01/2019
Jalan Tenaga (Blk 658),1,04/01/2019
Yunnan Drive 1,4,04/01/2019
Yunnan Drive 3,1,04/01/2019
Yunnan Road,1,04/01/2019
Yunnan Walk 1,2,04/01/2019
Jurong West Street 91 (Blk 909),1,04/01/2019
Jurong West Street 91 (Blk 910),1,04/01/2019
Jurong West Street 91 (Blk 913),1,04/01/2019
Jurong West Street 91 (Blk 914),2,04/01/2019
Jurong West Street 91 (Blk 934),1,04/01/2019
Bedok Avenue,1,04/01/2019
Bedok Garden,1,04/01/2019
Bedok Road,1,04/01/2019
Bedok Road (Country Park Condominium),1,04/01/2019
Jalan Bilal,1,04/01/2019
Alexandra Road (The Anchorage),3,04/01/2019
Barbary Walk,1,04/01/2019
Pasir Ris Drive 4 (Blk 234),1,04/01/2019
Pasir Ris Street 21 (Blk 228),2,04/01/2019
Pasir Ris Street 21 (Blk 240),1,04/01/2019
Yishun Avenue 5 (Blk 703),2,04/01/2019
Yishun Avenue 5 (Blk 706),1,04/01/2019
Yishun Avenue 5 (Blk 734),1,04/01/2019
Ang Mo Kio Avenue 9 (Blk 621),2,04/01/2019
Ang Mo Kio Avenue 9 (Blk 627),1,04/01/2019
Choa Chu Kang Avenue 2 (Blk 274),1,04/01/2019
Choa Chu Kang Avenue 3 (Blk 281),1,04/01/2019
Choa Chu Kang Avenue 3 (Blk 286),1,04/01/2019
Hougang Avenue 6 (Blk 527),1,04/01/2019
Hougang Avenue 6 (Blk 530),1,04/01/2019
Hougang Avenue 6 (Blk 531),1,04/01/2019
Ipoh Lane (Emery Point),1,04/01/2019
Ipoh Lane (Imperial Heights),1,04/01/2019
Ipoh Lane (Versilia on Haig),1,04/01/2019
Jalan Eunos (Eunos Mansions),3,04/01/2019
Mergui Road (Mergui Mansions),2,04/01/2019
Mergui Road (Pristine Heights),1,04/01/2019
Cashew Road (Cashew Park Condominium),2,04/01/2019
Commonwealth Crescent (Blk 107),1,04/01/2019
Commonwealth Crescent (Blk 113),1,04/01/2019
Jelapang Road (Blk 504),1,04/01/2019
Jelapang Road (Blk 522),1,04/01/2019
Jalan Pergam,1,04/01/2019
Upper Changi Road East (East View Garden),1,04/01/2019
Kaki Bukit Avenue 3,2,04/01/2019
Marine Terrace (Blk 52),1,04/01/2019
Marine Terrace (Blk 53),1,04/01/2019
Woodlands Crescent (Blk 776),1,04/01/2019
Woodlands Crescent (Blk 780A),1,04/01/2019
Yishun Avenue 4 (Blk 508B),1,04/01/2019
Yishun Street 81 (Blk 868),1,04/01/2019
Yuk Tong Avenue,2,04/01/2019
Bedok Reservoir Road (Blk 122),1,07/01/2019
Bedok Reservoir Road (Blk 124),1,07/01/2019
Bedok Reservoir Road (Blk 128),3,07/01/2019
Bedok Reservoir Road (Blk 129),1,07/01/2019
Bedok Reservoir Road (Blk 130),2,07/01/2019
Bedok Reservoir Road (Blk 131),3,07/01/2019
Bedok Reservoir Road (Blk 132),2,07/01/2019
Bedok Reservoir Road (Blk 134),2,07/01/2019
Bedok Reservoir Road (Blk 136),14,07/01/2019
Bedok Reservoir Road (Blk 137),3,07/01/2019
Bedok Reservoir Road (Blk 138),2,07/01/2019
Bedok Reservoir Road (Blk 139),10,07/01/2019
Bedok Reservoir Road (Blk 140),2,07/01/2019
Bedok Reservoir Road (Blk 142),5,07/01/2019
Bedok Reservoir Road (Blk 144),3,07/01/2019
Bedok Reservoir Road (Blk 145),1,07/01/2019
Bedok Reservoir Road (Blk 146),1,07/01/2019
Bedok Reservoir Road (Blk 147),3,07/01/2019
Bedok Reservoir Road (Blk 148),2,07/01/2019
Bedok Reservoir Road (Blk 149),1,07/01/2019
Bedok Reservoir Road (Blk 150),2,07/01/2019
Bedok Reservoir Road (Blk 608),1,07/01/2019
Bedok Reservoir Road (Blk 609),1,07/01/2019
Bedok Reservoir Road (Blk 613),1,07/01/2019
Bedok Reservoir Road (Blk 613A),1,07/01/2019
Bedok Reservoir Road (Blk 613B),1,07/01/2019
Bedok Reservoir Road (Blk 615),1,07/01/2019
Bedok Reservoir Road (Blk 622),1,07/01/2019
Bedok Reservoir Road (Blk 623),1,07/01/2019
Bedok Reservoir Road (Blk 628),1,07/01/2019
Bedok Reservoir Road (Blk 629),1,07/01/2019
Bedok Reservoir Road (Blk 631),1,07/01/2019
Eastwood Green,4,07/01/2019
Eastwood Place,1,07/01/2019
Eastwood Road,1,07/01/2019
Eastwood Terrace,4,07/01/2019
Eastwood Way,6,07/01/2019
Jalan Greja,3,07/01/2019
Pesari Walk,1,07/01/2019
Taman Bedok,1,07/01/2019
Pandan Gardens (Blk 404),3,07/01/2019
Pandan Gardens (Blk 405),1,07/01/2019
Pandan Gardens (Blk 411),7,07/01/2019
Pandan Gardens (Blk 412),3,07/01/2019
Pandan Gardens (Blk 413),1,07/01/2019
Pandan Gardens (Blk 414),19,07/01/2019
Kaki Bukit Industrial Terrace,16,07/01/2019
Kaki Bukit Place,2,07/01/2019
Hougang Avenue 5 (Blk 308),3,07/01/2019
Hougang Avenue 5 (Blk 310),6,07/01/2019
Hougang Avenue 5 (Blk 319),1,07/01/2019
Hougang Avenue 5 (Blk 320),1,07/01/2019
Hougang Avenue 5 (Blk 322),1,07/01/2019
Hougang Avenue 5 (Blk 324),1,07/01/2019
Cashew Road (Cashew Heights),4,07/01/2019
Gangsa Road (Blk 153),3,07/01/2019
Gangsa Road (Blk 154),2,07/01/2019
Hazel Park Terrace (Hazel Park Condominium),3,07/01/2019
Yunnan Drive 1,4,07/01/2019
Yunnan Drive 3,1,07/01/2019
Yunnan Road,3,07/01/2019
Yunnan Walk 1,2,07/01/2019
Jalan Damai (Blk 665),1,07/01/2019
Jalan Damai (Blk 667),1,07/01/2019
Jalan Tenaga (Blk 651),1,07/01/2019
Jalan Tenaga (Blk 652),1,07/01/2019
Jalan Tenaga (Blk 654),2,07/01/2019
Jalan Tenaga (Blk 655),1,07/01/2019
Jalan Tenaga (Blk 658),1,07/01/2019
Alexandra Road (The Anchorage),4,07/01/2019
Barbary Walk,1,07/01/2019
Stirling Road (Blk 171),1,07/01/2019
Bedok Avenue,1,07/01/2019
Bedok Garden,2,07/01/2019
Bedok Road,1,07/01/2019
Bedok Road (Country Park Condominium),1,07/01/2019
Jalan Bilal,1,07/01/2019
Jurong West Street 91 (Blk 909),1,07/01/2019
Jurong West Street 91 (Blk 913),1,07/01/2019
Jurong West Street 91 (Blk 914),2,07/01/2019
Jurong West Street 91 (Blk 934),1,07/01/2019
Haig Road (Blk 2),1,07/01/2019
Ipoh Lane (Emery Point),1,07/01/2019
Ipoh Lane (Imperial Heights),1,07/01/2019
Ipoh Lane (Versilia on Haig),1,07/01/2019
Hougang Avenue 6 (Blk 527),1,07/01/2019
Hougang Avenue 6 (Blk 528),1,07/01/2019
Hougang Avenue 6 (Blk 530),1,07/01/2019
Hougang Avenue 6 (Blk 531),1,07/01/2019
Jalan Pergam,2,07/01/2019
Upper Changi Road East,2,07/01/2019
Pasir Ris Street 21 (Blk 228),2,07/01/2019
Pasir Ris Street 21 (Blk 240),1,07/01/2019
Yishun Avenue 5 (Blk 703),2,07/01/2019
Yishun Avenue 5 (Blk 706),1,07/01/2019
Yishun Avenue 5 (Blk 734),1,07/01/2019
Ang Mo Kio Avenue 9 (Blk 621),2,07/01/2019
Ang Mo Kio Avenue 9 (Blk 627),1,07/01/2019
Choa Chu Kang Avenue 2 (Blk 274),1,07/01/2019
Choa Chu Kang Avenue 3 (Blk 281),1,07/01/2019
Choa Chu Kang Avenue 3 (Blk 286),1,07/01/2019
Jalan Eunos (Eunos Mansions),3,07/01/2019
Mergui Road (Pristine Heights),1,07/01/2019
Woodlands Circle (Blk 734),1,07/01/2019
Woodlands Circle (Blk 741),1,07/01/2019
Woodlands Circle (Blk 742),1,07/01/2019
Woodlands Crescent (Blk 776),1,07/01/2019
Woodlands Crescent (Blk 780A),1,07/01/2019
Woodlands Drive 60 (Blk 778),1,07/01/2019
Yishun Avenue 4 (Blk 508B),1,07/01/2019
Yishun Street 81 (Blk 868),1,07/01/2019
Yishun Street 81 (Blk 868),1,07/01/2019
Bedok Ria Cresent,1,07/01/2019
