Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bedok Reservoir Road (Blk 122),1,04/01/2019,1.3320522,103.9106380,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 124),1,04/01/2019,1.3327139,103.9100942,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 128),3,04/01/2019,1.3334379,103.9114536,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 130),2,04/01/2019,1.3335058,103.9123599,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 131),3,04/01/2019,1.3331446,103.9115443,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 132),2,04/01/2019,1.3329230,103.9119068,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 134),2,04/01/2019,1.3329178,103.9128130,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 135),2,04/01/2019,1.3331404,103.9122693,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 137),3,04/01/2019,1.3337227,103.9128130,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 138),2,04/01/2019,1.3345261,103.9130849,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 139),10,04/01/2019,1.3345066,103.9137344,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 140),2,04/01/2019,1.3348915,103.9131756,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 142),4,04/01/2019,1.3357141,103.9132888,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 144),3,04/01/2019,1.3351152,103.9124505,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 145),1,04/01/2019,1.3343129,103.9119974,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 146),1,04/01/2019,1.3346066,103.9118161,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 147),2,04/01/2019,1.3349004,103.9116349,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 148),2,04/01/2019,1.3353932,103.9118388,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 149),1,04/01/2019,1.3356275,103.9124505,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 150),2,04/01/2019,1.3360666,103.9124505,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Reservoir Road (Blk 608),1,04/01/2019,1.3318917,103.9130849,Chai Chee,0,0,0,0,—,—,—,—,—
