Closest Location,Date,No. of Cases,precipIntensity,precipIntensityMax,precipIntensityMaxTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,humidity
Admiralty,02/07/2019,2.0,0.0147,0.0625,1560814860,84.05,1560847620,79.41,1560877200,0.92
Admiralty,03/04/2019,67.0,0.0001,0.0003,1553093940,92.27,1553058060,77.34,1553120640,0.78
Admiralty,03/05/2019,124.0,0.017,0.0578,1555665060,91.91,1555649460,78.45,1555704600,0.82
Admiralty,03/06/2019,343.0,0.0003,0.001,1558346100,90.53,1558338360,78.67,1558382220,0.83
Admiralty,04/01/2019,2.0,0.0129,0.0554,1545373560,88.6,1545367080,76.17,1545428340,0.88
Admiralty,05/04/2019,74.0,0.0037,0.0128,1553234520,91.17,1553240340,76.95,1553289960,0.82
Admiralty,06/05/2019,131.0,0.0157,0.0517,1555922460,90.66,1555907700,78.25,1555963140,0.84
Admiralty,07/01/2019,6.0,0.0013,0.0059,1545641580,89.87,1545636540,75.68,1545681660,0.82
Admiralty,07/06/2019,321.0,0.0015,0.0121,1558677540,91.65,1558684020,78.42,1558727760,0.81
Admiralty,09/04/2019,78.0,0.0039,0.0084,1553610780,91.64,1553586000,76.42,1553637360,0.82
Admiralty,10/05/2019,189.0,0.0505,0.1267,1556270340,87.49,1556252580,76.36,1556307960,0.88
Admiralty,10/06/2019,326.0,0.0097,0.0525,1558947540,91.69,1558932960,79.06,1558987140,0.84
Admiralty,11/01/2019,10.0,0.0049,0.0241,1545987120,89.95,1545973800,76.19,1546034220,0.8
Admiralty,12/04/2019,90.0,0.0059,0.0419,1553847000,90.75,1553835960,77.16,1553896680,0.85
Admiralty,13/05/2019,200.0,0.0057,0.0222,1556535120,93.14,1556524260,79.51,1556567700,0.84
Admiralty,14/01/2019,14.0,0.0103,0.0438,1546247460,90.06,1546242840,75.91,1546286400,0.86
Admiralty,14/06/2019,301.0,0.015,0.0441,1559250060,88.39,1559277180,78.23,1559332980,0.86
Admiralty,16/04/2019,48.0,0.0146,0.0427,1554196440,90.5,1554181860,75.39,1554249360,0.84
Admiralty,17/05/2019,266.0,0.0058,0.0423,1556874000,92.97,1556858940,79.82,1556913120,0.84
Admiralty,18/01/2019,18.0,0.0011,0.0043,1546550220,91.61,1546588140,77.3,1546638960,0.77
Admiralty,18/04/2019,56.0,0.0138,0.0773,1554357780,90.08,1554351000,76.01,1554407940,0.85
Admiralty,19/06/2019,74.0,0.0059,0.0128,1559719740,88.91,1559708400,78.37,1559774340,0.86
Admiralty,21/01/2019,23.0,0.0012,0.0052,1546850940,88.35,1546847580,78.26,1546890660,0.85
Admiralty,21/06/2019,88.0,0.0063,0.0332,1559865540,86.65,1559894220,77.76,1559937300,0.89
Admiralty,22/05/2019,268.0,0.0088,0.0277,1557284520,88.35,1557304200,78.87,1557348300,0.86
Admiralty,23/04/2019,80.0,0.0126,0.0601,1554796860,91.08,1554785700,77.52,1554843180,0.85
Admiralty,24/05/2019,306.0,0.0048,0.0198,1557425520,91.47,1557475140,79.77,1557518580,0.8
Admiralty,25/01/2019,24.0,0.0002,0.0007,1547153760,89.14,1547182620,74.5,1547246520,0.82
