Location,Probability
Admiralty,29.959148168563843
Admiralty West,13.689754903316498
Ang Mo Kio,15.949268639087677
Botanic Garden,15.949268639087677
Buangkok,21.68416529893875
Bukit Panjang,15.949268639087677
Bukit Timah,15.949268639087677
Buona Vista,15.949268639087677
Chai Chee,21.68416529893875
Choa Chu Kang (Central),13.689754903316498
Choa Chu Kang (South),11.376477032899857
Clementi,13.3130744099617
Dhoby Ghaut,18.306531012058258
East Coast Parkway,18.306531012058258
Jurong (North),13.3130744099617
Kent Ridge,13.3130744099617
Khatib,13.3130744099617
Lim Chu Kang,11.376477032899857
Marina Barrage,22.84747064113617
Marine Parade,18.306531012058258
Newton,18.306531012058258
Nicoll Highway,18.306531012058258
Pasir Panjang,18.306531012058258
Pasir Ris (Central),18.306531012058258
Punggol,18.306531012058258
Queenstown,13.3130744099617
Sentosa Island,18.306531012058258
Simei,18.306531012058258
Somerset (Road),16.60698652267456
Tanjong Katong,16.60698652267456
Toa Payoh,16.60698652267456
Tuas,9.363436698913574
Tuas South,10.088753700256348
Tuas West,10.088753700256348
Upper Thomson,6.6119469702243805
Whampoa,7.265395671129227
Yishun,5.095762759447098
