Location,Probability
Admiralty,100.0
Admiralty West,34.564851095129676
Ang Mo Kio,43.65256661975277
Botanic Garden,43.65256661975277
Buangkok,66.71819732725989
Bukit Panjang,43.65256661975277
Bukit Timah,43.65256661975277
Buona Vista,43.65256661975277
Chai Chee,66.71819732725989
Choa Chu Kang (Central),34.564851095129676
Choa Chu Kang (South),25.2608973802489
Clementi,33.049850273010414
Dhoby Ghaut,53.13342505549191
East Coast Parkway,53.13342505549191
Jurong (North),33.049850273010414
Kent Ridge,33.049850273010414
Khatib,33.049850273010414
Lim Chu Kang,25.2608973802489
Marina Barrage,71.39698632986638
Marine Parade,53.13342505549191
Newton,53.13342505549191
Nicoll Highway,53.13342505549191
Pasir Panjang,53.13342505549191
Pasir Ris (Central),53.13342505549191
Punggol,53.13342505549191
Queenstown,33.049850273010414
Sentosa Island,53.13342505549191
Simei,53.13342505549191
Somerset (Road),46.29789376553123
Tanjong Katong,46.29789376553123
Toa Payoh,46.29789376553123
Tuas,17.16449256303461
Tuas South,20.081701902824754
Tuas West,20.081701902824754
Upper Thomson,6.0980602031022615
Whampoa,8.726216788187592
Yishun,0.0
