Location,Latitude,Longtitude
Upper Thomson,1.3729658,103.8285081
Clementi,1.3161811,103.7649377
Buangkok,1.3800765,103.8941158
Sentosa Island,1.2494041,103.8303209
Chai Chee,1.3245243,103.9230534
Boon Lay (West),1.3142556,103.7093099
Bukit Panjang,1.3774142,103.7719498
Kranji Reservoir,1.4244898,103.7390537
Upper Peirce Reservoir,1.3677898,103.8027893
Kent Ridge,1.2933333,103.7830556
Queenstown,1.2941664,103.7861271
Tanjong Katong,1.3059671,103.9049556
Somerset (Road),1.3004662,103.838385
Punggol,1.3984457,103.9072046
Tuas West,1.3354876,103.6352805
Simei,1.3399194,103.949471
Boon Lay (East),1.3142556,103.7093099
Toa Payoh,1.3343035,103.8563265
Tuas,1.2949472,103.6304833
Bukit Timah,1.3294113,103.8020777
Yishun,1.430368,103.8353628
Buona Vista,1.3072964,103.7901128
Pasir Ris (Central),1.3721913,103.9491595
Jurong (North),1.3328572,103.7435522
Semakau Island,1.2064868,103.7709177
Admiralty,1.4406049,103.800966
Admiralty West,1.4560244,103.7986363
Pulau Ubin,1.4125659,103.9577334
East Coast Parkway,1.304986,103.922734
Marina Barrage,1.2805282,103.8711747
Ang Mo Kio,1.3691149,103.8454342
Serangoon North,1.3664661,103.8731593
Newton,1.3075517,103.8403765
Lim Chu Kang,1.4304941,103.7173325
Marine Parade,1.3019687,103.8970821
Choa Chu Kang (Central),1.3810208,103.7469358
Tuas South,1.3069656,103.6261118
Pasir Panjang,1.2760684,103.7919037
Jurong Island,1.2759631,103.6767958
Dhoby Ghaut,1.2990936,103.8457886
Nicoll Highway,1.3018444,103.864928
Botanic Garden,1.3138397,103.8159136
Choa Chu Kang (South),1.3839803,103.7469611
Khatib,1.4173483,103.8329731
Whampoa,1.3230413,103.8549728
